ano_mes,id_curso,tx_nome_curso,count
2024-08,107,Planejamento Estratégico para Organizações Públicas,108
2024-08,153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,165
2024-08,270,Governança de Dados,101
2024-08,290,Proteção de Dados Pessoais no Setor Público,234
2024-08,343,Planejamento da Contratação de Soluções de TIC,17
2024-08,367,Novas Tecnologias para a Transformação Digital,33
2024-08,373,Liderança e Gestão De Equipes,386
2024-08,377,Inteligência Artificial no Contexto do Serviço Público,178
2024-08,406,Análise de dados como suporte à tomada de decisão,125
2024-08,419,Transformação Digital no Serviço Público,51
2024-08,529,"Como implementar a LGPD: bases, mecanismos e processos",110
2024-08,534,Internet das coisas (IoT) aplicada para resolução de desafios,31
2024-08,536,Governança de Dados na Transformação Digital,64
2024-08,629,Aprendendo com Python,50
2024-08,724,Gestão de Riscos em Projetos de Transformação Digital,14
2024-08,787,Gestão de projetos,123
2024-08,797,Automação de Processos através da RPA para Transformação Digital,18
2024-08,802,Visualização de Dados Aplicada à Transformação Digital,30
2024-08,815,Storytelling com Dados para Comunicação Profissional de Sucesso,71
2024-08,861,Inteligência Artificial para simplificar o dia a dia,134
2024-08,956,Inovando na Gestão de Projetos,103
2024-08,976,Introdução à Ciência de Dados - Conceitos e Ferramentas,102
2024-08,1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,68
2024-08,1088,A História da IA,176
2024-08,1090,Ética em IA,134
2024-08,1091,Inteligência Artificial Generativa,171
2024-08,1139,Colaboração com o Microsoft 365,47
2024-08,1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,78
2024-08,1167,IA Generativo da Microsoft - Copilot,195
2024-09,107,Planejamento Estratégico para Organizações Públicas,139
2024-09,153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,147
2024-09,270,Governança de Dados,81
2024-09,290,Proteção de Dados Pessoais no Setor Público,147
2024-09,343,Planejamento da Contratação de Soluções de TIC,15
2024-09,367,Novas Tecnologias para a Transformação Digital,32
2024-09,373,Liderança e Gestão De Equipes,418
2024-09,377,Inteligência Artificial no Contexto do Serviço Público,186
2024-09,406,Análise de dados como suporte à tomada de decisão,116
2024-09,419,Transformação Digital no Serviço Público,48
2024-09,529,"Como implementar a LGPD: bases, mecanismos e processos",87
2024-09,534,Internet das coisas (IoT) aplicada para resolução de desafios,19
2024-09,536,Governança de Dados na Transformação Digital,51
2024-09,629,Aprendendo com Python,46
2024-09,724,Gestão de Riscos em Projetos de Transformação Digital,11
2024-09,787,Gestão de projetos,92
2024-09,797,Automação de Processos através da RPA para Transformação Digital,21
2024-09,802,Visualização de Dados Aplicada à Transformação Digital,36
2024-09,815,Storytelling com Dados para Comunicação Profissional de Sucesso,71
2024-09,861,Inteligência Artificial para simplificar o dia a dia,135
2024-09,956,Inovando na Gestão de Projetos,89
2024-09,976,Introdução à Ciência de Dados - Conceitos e Ferramentas,58
2024-09,1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,56
2024-09,1088,A História da IA,139
2024-09,1090,Ética em IA,103
