id_curso,nome_curso,tema_ia
1088,A História da IA,Sim
406,Análise de dados como suporte à tomada de decisão,Não
629,Aprendendo com Python,Não
797,Automação de Processos através da RPA para Transformação Digital,Não
1139,Colaboração com o Microsoft 365,Não
529,"Como implementar a LGPD: bases, mecanismos e processos",Não
810,Desvendando a Inteligência Artificial na Administração Pública,Sim
1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,Não
1305,Fundamentos da Visão Computacional - IA do Azure,Sim
787,Gestão de projetos,Não
724,Gestão de Riscos em Projetos de Transformação Digital,Não
270,Governança de Dados,Não
536,Governança de Dados na Transformação Digital,Não
1263,Governo Data-Driven: transformação orientada por dados em governos,Não
1395,IA - Aplicações no Governo Federal,Sim
1167,IA Generativo da Microsoft - Copilot,Sim
956,Inovando na Gestão de Projetos,Não
1091,Inteligência Artificial Generativa,Sim
377,Inteligência Artificial no Contexto do Serviço Público,Sim
861,Inteligência Artificial para simplificar o dia a dia,Sim
534,Internet das coisas (IoT) aplicada para resolução de desafios,Não
976,Introdução à Ciência de Dados - Conceitos e Ferramentas,Não
153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,Não
373,Liderança e Gestão De Equipes,Não
367,Novas Tecnologias para a Transformação Digital,Não
343,Planejamento da Contratação de Soluções de TIC,Não
107,Planejamento Estratégico para Organizações Públicas,Não
1328,Processamento de Linguagem Natural,Sim
290,Proteção de Dados Pessoais no Setor Público,Não
1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,Não
815,Storytelling com Dados para Comunicação Profissional de Sucesso,Não
419,Transformação Digital no Serviço Público,Não
802,Visualização de Dados Aplicada à Transformação Digital,Não
1304,Visão Geral da IA no Azure,Sim
1090,Ética em IA,Sim
