programa,qtd_cursos,qtd_pessoas,n_cursos_programa
Fundamentos e Aplicações da IA para o Agente Público,1,62105,7
Fundamentos e Aplicações da IA para o Agente Público,2,10595,7
Fundamentos e Aplicações da IA para o Agente Público,3,4906,7
Fundamentos e Aplicações da IA para o Agente Público,4,1855,7
Fundamentos e Aplicações da IA para o Agente Público,5,689,7
Fundamentos e Aplicações da IA para o Agente Público,6,443,7
Fundamentos e Aplicações da IA para o Agente Público,7,1579,7
IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,1,95779,7
IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,2,38629,7
IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,3,3566,7
IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,4,851,7
IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,5,412,7
IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,6,323,7
IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,7,325,7
IA para Otimização de Processos e Automação Inteligente no Serviço Público,1,102196,6
IA para Otimização de Processos e Automação Inteligente no Serviço Público,2,7398,6
IA para Otimização de Processos e Automação Inteligente no Serviço Público,3,1910,6
IA para Otimização de Processos e Automação Inteligente no Serviço Público,4,2187,6
IA para Otimização de Processos e Automação Inteligente no Serviço Público,5,652,6
IA para Otimização de Processos e Automação Inteligente no Serviço Público,6,145,6
Fundamentos de Inteligência Artificial para lideranças: aprimorando a tomada de decisão,1,49693,6
Fundamentos de Inteligência Artificial para lideranças: aprimorando a tomada de decisão,2,7014,6
Fundamentos de Inteligência Artificial para lideranças: aprimorando a tomada de decisão,3,2415,6
Fundamentos de Inteligência Artificial para lideranças: aprimorando a tomada de decisão,4,417,6
Fundamentos de Inteligência Artificial para lideranças: aprimorando a tomada de decisão,5,201,6
Fundamentos de Inteligência Artificial para lideranças: aprimorando a tomada de decisão,6,409,6
IA Estratégica e Visão de Futuro para Lideranças no Setor Público,1,26899,3
IA Estratégica e Visão de Futuro para Lideranças no Setor Público,2,1288,3
IA Estratégica e Visão de Futuro para Lideranças no Setor Público,3,269,3
Gestão e Qualidade de Ativos de Dados no Setor Público,1,26338,2
Gestão e Qualidade de Ativos de Dados no Setor Público,2,4848,2
Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público,1,104340,10
Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público,2,9017,10
Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público,3,2075,10
Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público,4,832,10
Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público,5,489,10
Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público,6,160,10
Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público,7,98,10
Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público,8,45,10
Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público,9,28,10
Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público,10,89,10
IA para Otimização de Processos e Tomada de Decisão para Gestores Públicos,1,20631,2
IA para Otimização de Processos e Tomada de Decisão para Gestores Públicos,2,1294,2
Engenharia de Dados e IA Aplicada para Gestores de TIC,1,19854,3
Engenharia de Dados e IA Aplicada para Gestores de TIC,2,785,3
Engenharia de Dados e IA Aplicada para Gestores de TIC,3,215,3
"Fundamentos de TI, Dados e IA para Gestores de TIC",1,32359,7
"Fundamentos de TI, Dados e IA para Gestores de TIC",2,2067,7
"Fundamentos de TI, Dados e IA para Gestores de TIC",3,472,7
"Fundamentos de TI, Dados e IA para Gestores de TIC",4,157,7
"Fundamentos de TI, Dados e IA para Gestores de TIC",5,74,7
"Fundamentos de TI, Dados e IA para Gestores de TIC",6,45,7
"Fundamentos de TI, Dados e IA para Gestores de TIC",7,120,7
