publico_alvo,qtd_cursos,qtd_pessoas,n_cursos_publico
Agente Público,1,32295,11
Agente Público,2,7117,11
Agente Público,3,2613,11
Agente Público,4,1069,11
Agente Público,5,461,11
Agente Público,6,364,11
Agente Público,7,1013,11
Agente Público,8,193,11
Agente Público,9,75,11
Agente Público,10,28,11
Agente Público,11,26,11
Altas Lideranças,1,17612,8
Altas Lideranças,2,3622,8
Altas Lideranças,3,1659,8
Altas Lideranças,4,367,8
Altas Lideranças,5,140,8
Altas Lideranças,6,220,8
Altas Lideranças,7,61,8
Altas Lideranças,8,30,8
Curador de Dados,1,21329,6
Curador de Dados,2,3170,6
Curador de Dados,3,786,6
Curador de Dados,4,292,6
Curador de Dados,5,48,6
Curador de Dados,6,39,6
Executivo de Dados,1,23707,10
Executivo de Dados,2,4239,10
Executivo de Dados,3,972,10
Executivo de Dados,4,424,10
Executivo de Dados,5,258,10
Executivo de Dados,6,79,10
Executivo de Dados,7,45,10
Executivo de Dados,8,13,10
Executivo de Dados,9,13,10
Executivo de Dados,10,29,10
Gestor Público,1,8070,2
Gestor Público,2,712,2
Gestores de TIC,1,12594,8
Gestores de TIC,2,1208,8
Gestores de TIC,3,200,8
Gestores de TIC,4,80,8
Gestores de TIC,5,43,8
Gestores de TIC,6,10,8
Gestores de TIC,7,34,8
Gestores de TIC,8,15,8
