id_curso,nome_curso,programa,publico_alvo
724,Gestão de Riscos em Projetos de Transformação Digital,(sem programa),(sem programa)
367,Novas Tecnologias para a Transformação Digital,Fundamentos e Aplicações da IA para o Agente Público,Agente Público
377,Inteligência Artificial no Contexto do Serviço Público,Fundamentos e Aplicações da IA para o Agente Público,Agente Público
534,Internet das coisas (IoT) aplicada para resolução de desafios,Fundamentos e Aplicações da IA para o Agente Público,Agente Público
810,Desvendando a Inteligência Artificial na Administração Pública,Fundamentos e Aplicações da IA para o Agente Público,Agente Público
861,Inteligência Artificial para simplificar o dia a dia,Fundamentos e Aplicações da IA para o Agente Público,Agente Público
1088,A História da IA,Fundamentos e Aplicações da IA para o Agente Público,Agente Público
1090,Ética em IA,Fundamentos e Aplicações da IA para o Agente Público,Agente Público
1091,Inteligência Artificial Generativa,Fundamentos e Aplicações da IA para o Agente Público,Agente Público
1167,IA Generativo da Microsoft - Copilot,Fundamentos e Aplicações da IA para o Agente Público,Agente Público
153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,Agente Público
290,Proteção de Dados Pessoais no Setor Público,IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,Agente Público
377,Inteligência Artificial no Contexto do Serviço Público,IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,Agente Público
529,"Como implementar a LGPD: bases, mecanismos e processos",IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,Agente Público
797,Automação de Processos através da RPA para Transformação Digital,IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,Agente Público
861,Inteligência Artificial para simplificar o dia a dia,IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,Agente Público
1090,Ética em IA,IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,Agente Público
1139,Colaboração com o Microsoft 365,IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,Agente Público
1395,IA - Aplicações no Governo Federal,IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público,Agente Público
290,Proteção de Dados Pessoais no Setor Público,IA para Otimização de Processos e Automação Inteligente no Serviço Público,Agente Público
377,Inteligência Artificial no Contexto do Serviço Público,IA para Otimização de Processos e Automação Inteligente no Serviço Público,Agente Público
