id_curso,nome_curso,publico_alvo,programa_trilha
724,Gestão de Riscos em Projetos de Transformação Digital,(fora de programa),(fora de programa)
153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,Agente Público,IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público
290,Proteção de Dados Pessoais no Setor Público,Agente Público,IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público
367,Novas Tecnologias para a Transformação Digital,Agente Público,Fundamentos e Aplicações da IA para o Agente Público
377,Inteligência Artificial no Contexto do Serviço Público,Agente Público,Fundamentos e Aplicações da IA para o Agente Público
529,"Como implementar a LGPD: bases, mecanismos e processos",Agente Público,IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público
534,Internet das coisas (IoT) aplicada para resolução de desafios,Agente Público,Fundamentos e Aplicações da IA para o Agente Público
797,Automação de Processos através da RPA para Transformação Digital,Agente Público,IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público
810,Desvendando a Inteligência Artificial na Administração Pública,Agente Público,Fundamentos e Aplicações da IA para o Agente Público
861,Inteligência Artificial para simplificar o dia a dia,Agente Público,Fundamentos e Aplicações da IA para o Agente Público
1088,A História da IA,Agente Público,Fundamentos e Aplicações da IA para o Agente Público
1090,Ética em IA,Agente Público,Fundamentos e Aplicações da IA para o Agente Público
1091,Inteligência Artificial Generativa,Agente Público,Fundamentos e Aplicações da IA para o Agente Público
1139,Colaboração com o Microsoft 365,Agente Público,IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público
1167,IA Generativo da Microsoft - Copilot,Agente Público,Fundamentos e Aplicações da IA para o Agente Público
1395,IA - Aplicações no Governo Federal,Agente Público,IA na Prática: Ferramentas e Soluções no dia a dia do Agente Público
373,Liderança e Gestão De Equipes,Altas Lideranças,IA Estratégica e Visão de Futuro para Lideranças no Setor Público
377,Inteligência Artificial no Contexto do Serviço Público,Altas Lideranças,Fundamentos de Inteligência Artificial para lideranças: aprimorando a tomada de decisão
406,Análise de dados como suporte à tomada de decisão,Altas Lideranças,Fundamentos de Inteligência Artificial para lideranças: aprimorando a tomada de decisão
419,Transformação Digital no Serviço Público,Altas Lideranças,IA Estratégica e Visão de Futuro para Lideranças no Setor Público
536,Governança de Dados na Transformação Digital,Altas Lideranças,IA Estratégica e Visão de Futuro para Lideranças no Setor Público
810,Desvendando a Inteligência Artificial na Administração Pública,Altas Lideranças,Fundamentos de Inteligência Artificial para lideranças: aprimorando a tomada de decisão
815,Storytelling com Dados para Comunicação Profissional de Sucesso,Altas Lideranças,Fundamentos de Inteligência Artificial para lideranças: aprimorando a tomada de decisão
1090,Ética em IA,Altas Lideranças,Fundamentos de Inteligência Artificial para lideranças: aprimorando a tomada de decisão
1263,Governo Data-Driven: transformação orientada por dados em governos,Altas Lideranças,Fundamentos de Inteligência Artificial para lideranças: aprimorando a tomada de decisão
1395,IA - Aplicações no Governo Federal,Altas Lideranças,IA Estratégica e Visão de Futuro para Lideranças no Setor Público
290,Proteção de Dados Pessoais no Setor Público,Curador de Dados,Gestão e Qualidade de Ativos de Dados no Setor Público
377,Inteligência Artificial no Contexto do Serviço Público,Curador de Dados,Gestão e Qualidade de Ativos de Dados no Setor Público
976,Introdução à Ciência de Dados - Conceitos e Ferramentas,Curador de Dados,Gestão e Qualidade de Ativos de Dados no Setor Público
1090,Ética em IA,Curador de Dados,Gestão e Qualidade de Ativos de Dados no Setor Público
1263,Governo Data-Driven: transformação orientada por dados em governos,Curador de Dados,Gestão e Qualidade de Ativos de Dados no Setor Público
1395,IA - Aplicações no Governo Federal,Curador de Dados,Gestão e Qualidade de Ativos de Dados no Setor Público
107,Planejamento Estratégico para Organizações Públicas,Executivo de Dados,Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público
270,Governança de Dados,Executivo de Dados,Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público
290,Proteção de Dados Pessoais no Setor Público,Executivo de Dados,Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público
377,Inteligência Artificial no Contexto do Serviço Público,Executivo de Dados,Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público
406,Análise de dados como suporte à tomada de decisão,Executivo de Dados,Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público
802,Visualização de Dados Aplicada à Transformação Digital,Executivo de Dados,Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público
815,Storytelling com Dados para Comunicação Profissional de Sucesso,Executivo de Dados,Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público
976,Introdução à Ciência de Dados - Conceitos e Ferramentas,Executivo de Dados,Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público
1090,Ética em IA,Executivo de Dados,Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público
1263,Governo Data-Driven: transformação orientada por dados em governos,Executivo de Dados,Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público
1395,IA - Aplicações no Governo Federal,Executivo de Dados,Executivo de Dados e IA: Fundamentos e Estratégias no Setor Público
1090,Ética em IA,Gestor Público,IA para Otimização de Processos e Tomada de Decisão para Gestores Públicos
1395,IA - Aplicações no Governo Federal,Gestor Público,IA para Otimização de Processos e Tomada de Decisão para Gestores Públicos
343,Planejamento da Contratação de Soluções de TIC,Gestores de TIC,"Fundamentos de TI, Dados e IA para Gestores de TIC"
629,Aprendendo com Python,Gestores de TIC,"Fundamentos de TI, Dados e IA para Gestores de TIC"
787,Gestão de projetos,Gestores de TIC,"Fundamentos de TI, Dados e IA para Gestores de TIC"
802,Visualização de Dados Aplicada à Transformação Digital,Gestores de TIC,"Fundamentos de TI, Dados e IA para Gestores de TIC"
956,Inovando na Gestão de Projetos,Gestores de TIC,"Fundamentos de TI, Dados e IA para Gestores de TIC"
976,Introdução à Ciência de Dados - Conceitos e Ferramentas,Gestores de TIC,"Fundamentos de TI, Dados e IA para Gestores de TIC"
1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,Gestores de TIC,"Fundamentos de TI, Dados e IA para Gestores de TIC"
1090,Ética em IA,Gestores de TIC,"Fundamentos de TI, Dados e IA para Gestores de TIC"
1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,Gestores de TIC,"Fundamentos de TI, Dados e IA para Gestores de TIC"
1304,Visão Geral da IA no Azure,Gestores de TIC,"Fundamentos de TI, Dados e IA para Gestores de TIC"
